x轴,数据集子集
y轴,平均绝对误差(MAE)
类型,scatter,scatter,line:symbol
,LSTM,PatchTST,KPI指标要求
1,0.2529,0.2464,1
2,0.3567,0.3516,1
3,0.7987,0.9049,1
4,0.3372,0.3604,1
5,0.2808,0.2659,1
