x轴,数据集子集
y轴,平均绝对误差(MAE)
类型,scatter,scatter,line:symbol
,LSTM,PatchTST,KPI指标要求
1,2.4482443,2.3543567,5
2,3.043431,3.163499,5
3,1.9756921,1.9240668,5
4,2.0574725,2.0421845,5
5,2.5189898,2.4713287,5
