x轴,数据集子集
y轴,平均绝对误差(MAE)
类型,scatter,scatter,line:symbol
,LSTM,PatchTST,KPI指标要求
1,0.3899,0.3794,1
2,0.585,0.6084,1
3,0.5619,0.6442,1
4,0.7773,0.5884,1
5,0.9806,0.982,1
