x轴,数据集子集
y轴,平均绝对误差(MAE)
类型,scatter,scatter,line:symbol
,LSTM,PatchTST,KPI指标要求
1,0.3951899,0.3823257,1
2,0.5929973,0.6052104,1
3,0.5637493,0.6567125,1
4,0.8171165,0.6132239,1
5,0.9799457,0.9766155,1
