x轴,数据集子集
y轴,预测平均绝对误差(MAE)
类型,scatter,scatter,line:symbol
,LSTM预测,PatchTST预测,KPI指标要求(MAE≤5)
1,3.7879,3.7815,5
2,3.8862,3.8752,5
3,4.1284,3.8303,5
4,2.8595,3.0153,5
5,2.2564,2.2246,5
