x轴,数据集子集
y轴,预测平均绝对误差(MAE)
类型,scatter,scatter,line:symbol
,LSTM预测,PatchTST预测,KPI指标要求(MAE≤1)
1,0.2550383,0.2524586,1
2,0.3405134,0.3523366,1
3,0.7987075,0.8811737,1
4,0.3485339,0.3738172,1
5,0.2960699,0.2751669,1
