x轴,数据集子集
y轴,预测平均绝对误差(MAE)
类型,scatter,scatter,line:symbol
,LSTM预测,PatchTST预测,KPI指标要求(MAE≤1)
1,0.3899,0.3794,1
2,0.585,0.6084,1
3,0.5619,0.6441,1
4,0.7773,0.5883,1
5,0.9806,0.9821,1
