x轴,数据集子集
y轴,预测平均绝对误差(MAE)
类型,scatter,scatter,line:symbol
,LSTM预测,PatchTST预测,KPI指标要求(MAE≤5)
1,3.7544368,3.6879606,5
2,4.3463435,4.0198502,5
3,4.070341,3.8848554,5
4,2.9157586,3.0228745,5
5,2.2330606,2.2146439,5
