x轴,数据集子集
y轴,预测平均绝对误差(MAE)
类型,scatter,scatter,line:symbol
,LSTM预测,PatchTST预测,KPI指标要求(MAE≤1)
1,0.2529,0.2464,1
2,0.3567,0.3515,1
3,0.7986,0.9046,1
4,0.3372,0.3604,1
5,0.2808,0.2659,1
