x轴,模型
y轴,共享切分内存节省比(%)
类型,scatter,scatter,line
,飞腾客户端(%),昇腾客户端(%),KPI指标要求(≥20%)
deit_tiny_patch16_224,47.16,76.08,20
levit_128,69,83.49,20
mobilenet_v2,52.49,74.47,20
mobilenet_v3_large,57.23,78.36,20
resnet101,82.28,88.41,20
resnet18,67.18,56.15,20
resnet50,76.88,90.52,20
mobilevgg,77.13,79.84,20
lightvgg11,94.13,28.78,20
yolov5,66.83,83.71,20
yolov8,61.31,78.03,20
