x轴,模型
y轴,任务完成时间缩短比(%)
类型,scatter,scatter,line
,飞腾客户端(%),昇腾客户端(%),KPI指标要求(≥10%)
deit_tiny_patch16_224,38.27,56.99,10
levit_128,81.28,63.87,10
mobilenet_v2,58.15,60.81,10
mobilenet_v3_large,74.23,67.56,10
resnet101,73.15,45.99,10
resnet18,59.5,46.97,10
resnet50,71.68,53.6,10
mobilevgg,53.07,18.87,10
lightvgg11,83.99,75.7,10
yolov5,73.66,46.48,10
yolov8,71.27,55.58,10
